Query #4:
Connected to Database: "schema2"

Running Query:
 select e.fname, e.lname
from employee as e
where e.ssn in ( 
select essn
from dependent as d
where e.fname != d.dependent_name
and 
e.sex!=d.sex );

Query Result Set:

------------------------------

fname                         lname                         
Employee147                   employee147                   
Employee148                   employee148                   
Employee149                   employee149                   
Employee150                   employee150                   
Employee151                   employee151                   
Employee152                   employee152                   
Employee153                   employee153                   
Employee154                   employee154                   
Employee155                   employee155                   
Employee156                   employee156                   
Employee157                   employee157                   
Employee158                   employee158                   
Employee159                   employee159                   
Employee160                   employee160                   
Employee161                   employee161                   
Employee162                   employee162                   
Employee163                   employee163                   
Employee164                   employee164                   
Employee165                   employee165                   
Employee166                   employee166                   
Employee167                   employee167                   
Employee168                   employee168                   
Employee169                   employee169                   
Employee170                   employee170                   
Employee171                   employee171                   
Employee172                   employee172                   
Employee173                   employee173                   
Employee174                   employee174                   
Employee175                   employee175                   
Employee176                   employee176                   
Employee177                   employee177                   
Employee178                   employee178                   
Employee179                   employee179                   
Employee180                   employee180                   
Employee181                   employee181                   
Employee182                   employee182                   
Employee183                   employee183                   
Employee184                   employee184                   
Employee185                   employee185                   
Employee186                   employee186                   
Employee187                   employee187                   
Employee188                   employee188                   
Employee189                   employee189                   
Employee190                   employee190                   
Employee191                   employee191                   
Employee192                   employee192                   
Employee193                   employee193                   
Employee194                   employee194                   
Employee195                   employee195                   
Employee196                   employee196                   
Employee197                   employee197                   
Employee198                   employee198                   
Employee199                   employee199                   
Employee200                   employee200                   
Employee201                   employee201                   
Employee202                   employee202                   
Employee203                   employee203                   
Employee204                   employee204                   
Employee205                   employee205                   
Employee206                   employee206                   
Employee207                   employee207                   
Employee208                   employee208                   
Employee209                   employee209                   
Employee210                   employee210                   
Employee211                   employee211                   
Employee212                   employee212                   
Employee213                   employee213                   
Employee214                   employee214                   
Employee215                   employee215                   
Employee216                   employee216                   
Employee217                   employee217                   
Employee218                   employee218                   
Employee219                   employee219                   
Employee220                   employee220                   
Employee221                   employee221                   
Employee222                   employee222                   
Employee223                   employee223                   
Employee224                   employee224                   
Employee225                   employee225                   
Employee226                   employee226                   
Employee227                   employee227                   
Employee228                   employee228                   
Employee229                   employee229                   
Employee230                   employee230                   
Employee231                   employee231                   
Employee232                   employee232                   
Employee233                   employee233                   
Employee234                   employee234                   
Employee235                   employee235                   
Employee236                   employee236                   
Employee237                   employee237                   
Employee238                   employee238                   
Employee239                   employee239                   
Employee240                   employee240                   
Employee241                   employee241                   
Employee242                   employee242                   
Employee243                   employee243                   
Employee244                   employee244                   
Employee245                   employee245                   
Employee246                   employee246                   
Employee247                   employee247                   
Employee248                   employee248                   
Employee249                   employee249                   
Employee250                   employee250                   
Employee251                   employee251                   
Employee252                   employee252                   
Employee253                   employee253                   
Employee254                   employee254                   
Employee255                   employee255                   
Employee256                   employee256                   
Employee257                   employee257                   
Employee258                   employee258                   
Employee259                   employee259                   
Employee260                   employee260                   
Employee261                   employee261                   
Employee262                   employee262                   
Employee263                   employee263                   
Employee264                   employee264                   
Employee265                   employee265                   
Employee266                   employee266                   
Employee267                   employee267                   
Employee268                   employee268                   
Employee269                   employee269                   
Employee270                   employee270                   
Employee271                   employee271                   
Employee272                   employee272                   
Employee273                   employee273                   
Employee274                   employee274                   
Employee275                   employee275                   
Employee276                   employee276                   
Employee277                   employee277                   
Employee278                   employee278                   
Employee279                   employee279                   
Employee280                   employee280                   
Employee281                   employee281                   
Employee282                   employee282                   
Employee283                   employee283                   
Employee284                   employee284                   
Employee285                   employee285                   
Employee286                   employee286                   
Employee287                   employee287                   
Employee288                   employee288                   
Employee289                   employee289                   
Employee290                   employee290                   
Employee291                   employee291                   
Employee292                   employee292                   
Employee293                   employee293                   
Employee294                   employee294                   
Employee295                   employee295                   
Employee296                   employee296                   
Employee297                   employee297                   
Employee298                   employee298                   
Employee299                   employee299                   
Employee300                   employee300                   
Employee301                   employee301                   
Employee302                   employee302                   
Employee303                   employee303                   
Employee304                   employee304                   
Employee305                   employee305                   
Employee306                   employee306                   
Employee307                   employee307                   
Employee308                   employee308                   
Employee309                   employee309                   
Employee310                   employee310                   
Employee311                   employee311                   
Employee312                   employee312                   
Employee313                   employee313                   
Employee314                   employee314                   
Employee315                   employee315                   
Employee316                   employee316                   
Employee317                   employee317                   
Employee318                   employee318                   
Employee319                   employee319                   
Employee320                   employee320                   
Employee321                   employee321                   
Employee322                   employee322                   
Employee323                   employee323                   
Employee324                   employee324                   
Employee325                   employee325                   
Employee326                   employee326                   
Employee327                   employee327                   
Employee328                   employee328                   
Employee329                   employee329                   
Employee330                   employee330                   
Employee331                   employee331                   
Employee332                   employee332                   
Employee333                   employee333                   
Employee334                   employee334                   
Employee335                   employee335                   
Employee336                   employee336                   
Employee337                   employee337                   
Employee338                   employee338                   
Employee339                   employee339                   
Employee340                   employee340                   
Employee341                   employee341                   
Employee342                   employee342                   
Employee343                   employee343                   
Employee344                   employee344                   
Employee345                   employee345                   
Employee346                   employee346                   
Employee347                   employee347                   
Employee348                   employee348                   
Employee349                   employee349                   
Employee350                   employee350                   
Employee351                   employee351                   
Employee352                   employee352                   
Employee353                   employee353                   
Employee354                   employee354                   
Employee355                   employee355                   
Employee356                   employee356                   
Employee357                   employee357                   
Employee358                   employee358                   
Employee359                   employee359                   
Employee360                   employee360                   
Employee361                   employee361                   
Employee362                   employee362                   
Employee363                   employee363                   
Employee364                   employee364                   
Employee365                   employee365                   
Employee366                   employee366                   
Employee367                   employee367                   
Employee368                   employee368                   
Employee369                   employee369                   
Employee370                   employee370                   
Employee371                   employee371                   
Employee372                   employee372                   
Employee373                   employee373                   
Employee374                   employee374                   
Employee375                   employee375                   
Employee376                   employee376                   
Employee377                   employee377                   
Employee378                   employee378                   
Employee379                   employee379                   
Employee380                   employee380                   
Employee381                   employee381                   
Employee382                   employee382                   
Employee383                   employee383                   
Employee384                   employee384                   
Employee385                   employee385                   
Employee386                   employee386                   
Employee387                   employee387                   
Employee388                   employee388                   
Employee389                   employee389                   
Employee390                   employee390                   
Employee391                   employee391                   
Employee392                   employee392                   
Employee393                   employee393                   
Employee394                   employee394                   
Employee395                   employee395                   
Employee396                   employee396                   
Employee397                   employee397                   
Employee398                   employee398                   
Employee399                   employee399                   
Employee400                   employee400                   
Employee401                   employee401                   
Employee402                   employee402                   
Employee403                   employee403                   
Employee404                   employee404                   
Employee405                   employee405                   
Employee406                   employee406                   
Employee407                   employee407                   
Employee408                   employee408                   
Employee409                   employee409                   
Employee410                   employee410                   
Employee411                   employee411                   
Employee412                   employee412                   
Employee413                   employee413                   
Employee414                   employee414                   
Employee415                   employee415                   
Employee416                   employee416                   
Employee417                   employee417                   
Employee418                   employee418                   
Employee419                   employee419                   
Employee420                   employee420                   
Employee421                   employee421                   
Employee422                   employee422                   
Employee423                   employee423                   
Employee424                   employee424                   
Employee425                   employee425                   
Employee426                   employee426                   
Employee427                   employee427                   
Employee428                   employee428                   
Employee429                   employee429                   
Employee430                   employee430                   
Employee431                   employee431                   
Employee432                   employee432                   
Employee433                   employee433                   
Employee434                   employee434                   
Employee435                   employee435                   
Employee436                   employee436                   
Employee437                   employee437                   
Employee438                   employee438                   
Employee439                   employee439                   
Employee440                   employee440                   
Employee441                   employee441                   
Employee442                   employee442                   
Employee443                   employee443                   
Employee444                   employee444                   
Employee445                   employee445                   
Employee446                   employee446                   
Employee447                   employee447                   
Employee448                   employee448                   
Employee449                   employee449                   
Employee450                   employee450                   
Employee451                   employee451                   
Employee452                   employee452                   
Employee453                   employee453                   
Employee454                   employee454                   
Employee455                   employee455                   
Employee456                   employee456                   
Employee457                   employee457                   
Employee458                   employee458                   
Employee459                   employee459                   
Employee460                   employee460                   
Employee461                   employee461                   
Employee462                   employee462                   
Employee463                   employee463                   
Employee464                   employee464                   
Employee465                   employee465                   
Employee466                   employee466                   
Employee467                   employee467                   
Employee468                   employee468                   
Employee469                   employee469                   
Employee470                   employee470                   
Employee471                   employee471                   
Employee472                   employee472                   
Employee473                   employee473                   
Employee474                   employee474                   
Employee475                   employee475                   
Employee476                   employee476                   
Employee477                   employee477                   
Employee478                   employee478                   
Employee479                   employee479                   
Employee480                   employee480                   
Employee481                   employee481                   
Employee482                   employee482                   
Employee483                   employee483                   
Employee484                   employee484                   
Employee485                   employee485                   
Employee486                   employee486                   
Employee487                   employee487                   
Employee488                   employee488                   
Employee489                   employee489                   
Employee490                   employee490                   
Employee491                   employee491                   
Employee492                   employee492                   
Employee493                   employee493                   
Employee494                   employee494                   
Employee495                   employee495                   
Employee496                   employee496                   
Employee497                   employee497                   
Employee498                   employee498                   
Employee499                   employee499                   
Employee500                   employee500                   
Employee501                   employee501                   
Employee502                   employee502                   
Employee503                   employee503                   
Employee504                   employee504                   
Employee505                   employee505                   
Employee506                   employee506                   
Employee507                   employee507                   
Employee508                   employee508                   
Employee509                   employee509                   
Employee510                   employee510                   
Employee511                   employee511                   
Employee512                   employee512                   
Employee513                   employee513                   
Employee514                   employee514                   
Employee515                   employee515                   
Employee516                   employee516                   
Employee517                   employee517                   
Employee518                   employee518                   
Employee519                   employee519                   
Employee520                   employee520                   
Employee521                   employee521                   
Employee522                   employee522                   
Employee523                   employee523                   
Employee524                   employee524                   
Employee525                   employee525                   
Employee526                   employee526                   
Employee527                   employee527                   
Employee528                   employee528                   
Employee529                   employee529                   
Employee530                   employee530                   
Employee531                   employee531                   
Employee532                   employee532                   
Employee533                   employee533                   
Employee534                   employee534                   
Employee535                   employee535                   
Employee536                   employee536                   
Employee537                   employee537                   
Employee538                   employee538                   
Employee539                   employee539                   
Employee540                   employee540                   
Employee541                   employee541                   
Employee542                   employee542                   
Employee543                   employee543                   
Employee544                   employee544                   
Employee545                   employee545                   
Employee546                   employee546                   
Employee547                   employee547                   
Employee548                   employee548                   
Employee549                   employee549                   
Employee550                   employee550                   
Employee551                   employee551                   
Employee552                   employee552                   
Employee553                   employee553                   
Employee554                   employee554                   
Employee555                   employee555                   
Employee556                   employee556                   
Employee557                   employee557                   
Employee558                   employee558                   
Employee559                   employee559                   
Employee560                   employee560                   
Employee561                   employee561                   
Employee562                   employee562                   
Employee563                   employee563                   
Employee564                   employee564                   
Employee565                   employee565                   
Employee566                   employee566                   
Employee567                   employee567                   
Employee568                   employee568                   
Employee569                   employee569                   
Employee570                   employee570                   
Employee571                   employee571                   
Employee572                   employee572                   
Employee573                   employee573                   
Employee574                   employee574                   
Employee575                   employee575                   
Employee576                   employee576                   
Employee577                   employee577                   
Employee578                   employee578                   
Employee579                   employee579                   
Employee580                   employee580                   
Employee581                   employee581                   
Employee582                   employee582                   
Employee583                   employee583                   
Employee584                   employee584                   
Employee585                   employee585                   
Employee586                   employee586                   
Employee587                   employee587                   
Employee588                   employee588                   
Employee589                   employee589                   
Employee590                   employee590                   
Employee591                   employee591                   
Employee592                   employee592                   
Employee593                   employee593                   
Employee594                   employee594                   
Employee595                   employee595                   
Employee596                   employee596                   
Employee597                   employee597                   
Employee598                   employee598                   
Employee599                   employee599                   
Employee600                   employee600                   
Employee601                   employee601                   
Employee602                   employee602                   
Employee603                   employee603                   
Employee604                   employee604                   
Employee605                   employee605                   
Employee606                   employee606                   
Employee607                   employee607                   
Employee608                   employee608                   
Employee609                   employee609                   
Employee610                   employee610                   
Employee611                   employee611                   
Employee612                   employee612                   
Employee613                   employee613                   
Employee614                   employee614                   
Employee615                   employee615                   
Employee616                   employee616                   
Employee617                   employee617                   
Employee618                   employee618                   
Employee619                   employee619                   
Employee620                   employee620                   
Employee621                   employee621                   
Employee622                   employee622                   
Employee623                   employee623                   
Employee624                   employee624                   
Employee625                   employee625                   
Employee626                   employee626                   
Employee627                   employee627                   
Employee628                   employee628                   
Employee629                   employee629                   
Employee630                   employee630                   
Employee631                   employee631                   
Employee632                   employee632                   
Employee633                   employee633                   
Employee634                   employee634                   
Employee635                   employee635                   
Employee636                   employee636                   
Employee637                   employee637                   
Employee638                   employee638                   
Employee639                   employee639                   
Employee640                   employee640                   
Employee641                   employee641                   
Employee642                   employee642                   
Employee643                   employee643                   
Employee644                   employee644                   
Employee645                   employee645                   
Employee646                   employee646                   
Employee647                   employee647                   
Employee648                   employee648                   
Employee649                   employee649                   
Employee650                   employee650                   
Employee651                   employee651                   
Employee652                   employee652                   
Employee653                   employee653                   
Employee654                   employee654                   
Employee655                   employee655                   
Employee656                   employee656                   
Employee657                   employee657                   
Employee658                   employee658                   
Employee659                   employee659                   
Employee660                   employee660                   
Employee661                   employee661                   
Employee662                   employee662                   
Employee663                   employee663                   
Employee664                   employee664                   
Employee665                   employee665                   
Employee666                   employee666                   
Employee667                   employee667                   
Employee668                   employee668                   
Employee669                   employee669                   
Employee670                   employee670                   
Employee671                   employee671                   
Employee672                   employee672                   
Employee673                   employee673                   
Employee674                   employee674                   
Employee675                   employee675                   
Employee676                   employee676                   
Employee677                   employee677                   
Employee678                   employee678                   
Employee679                   employee679                   
Employee680                   employee680                   
Employee681                   employee681                   
Employee682                   employee682                   
Employee683                   employee683                   
Employee684                   employee684                   
Employee685                   employee685                   
Employee686                   employee686                   
Employee687                   employee687                   
Employee688                   employee688                   
Employee689                   employee689                   
Employee690                   employee690                   
Employee691                   employee691                   
Employee692                   employee692                   
Employee693                   employee693                   
Employee694                   employee694                   
Employee695                   employee695                   
Employee696                   employee696                   
Employee697                   employee697                   
Employee698                   employee698                   
Employee699                   employee699                   
Employee700                   employee700                   
Employee701                   employee701                   
Employee702                   employee702                   
Employee703                   employee703                   
Employee704                   employee704                   
Employee705                   employee705                   
Employee706                   employee706                   
Employee707                   employee707                   
Employee708                   employee708                   
Employee709                   employee709                   
Employee710                   employee710                   
Employee711                   employee711                   
Employee712                   employee712                   
Employee713                   employee713                   
Employee714                   employee714                   
Employee715                   employee715                   
Employee716                   employee716                   
Employee717                   employee717                   
Employee718                   employee718                   
Employee719                   employee719                   
Employee720                   employee720                   
Employee721                   employee721                   
Employee722                   employee722                   
Employee723                   employee723                   
Employee724                   employee724                   
Employee725                   employee725                   
Employee726                   employee726                   
Employee727                   employee727                   
Employee728                   employee728                   
Employee729                   employee729                   
Employee730                   employee730                   
Employee731                   employee731                   
Employee732                   employee732                   
Employee733                   employee733                   
Employee734                   employee734                   
Employee735                   employee735                   
Employee736                   employee736                   
Employee737                   employee737                   
